job_id,skill
263,Data Warehouse
263,ELT
263,ETL
263,Git
263,Kafka
263,Machine Learning
263,Python
263,Redshift
263,SQL
263,Snowflake
263,Spark
264,AWS
264,Azure
264,Data Warehouse
264,GCP
264,Python
264,SQL
264,Tableau
265,AWS
265,BigQuery
265,GCP
265,Linux
267,AWS
267,Java
267,Machine Learning
267,Python
269,Airflow
269,Machine Learning
269,NumPy
269,Pandas
269,PostgreSQL
269,Python
269,R
269,Redshift
269,SQL
269,Tableau
270,AWS
270,Airflow
270,Data Modeling
270,Data Warehouse
270,Hadoop
270,Java
270,Looker
270,Python
270,R
270,SQL
270,Scala
270,Spark
270,Tableau
272,AWS
272,Airflow
272,Hadoop
272,Python
272,Spark
273,Hive
273,Java
273,Kafka
273,NoSQL
273,Python
273,R
273,SQL
273,Spark
274,AWS
274,GCP
274,Git
274,Linux
274,Machine Learning
274,Python
274,R
274,SQL
275,AWS
275,Airflow
275,ETL
275,Kafka
275,Python
275,R
275,Redshift
275,SQL
275,Snowflake
275,Spark
276,AWS
276,Data Modeling
276,ETL
276,Java
276,Python
276,SQL
277,AWS
277,Data Warehouse
277,ETL
277,Linux
277,SQL
278,AWS
278,Data Modeling
278,ETL
278,GCP
278,Git
278,Hadoop
278,Hive
278,Linux
278,Machine Learning
278,Python
278,R
278,SQL
278,SQL Server
278,Spark
279,Data Modeling
279,Python
279,R
279,Tableau
280,R
281,AWS
281,Airflow
281,ETL
281,Java
281,Kafka
281,Kubernetes
281,Looker
281,Pandas
281,Python
281,Redshift
281,Tableau
282,AWS
282,Data Modeling
282,Docker
282,Git
282,Java
282,Kafka
282,Kubernetes
282,Linux
282,NoSQL
282,Python
282,Tableau
283,AWS
283,Data Modeling
283,Linux
284,AWS
284,Hadoop
284,Hive
284,Java
284,Kafka
284,MySQL
284,NoSQL
284,Python
284,SQL
284,Scala
284,Spark
285,Oracle
285,SQL
285,SQL Server
286,AWS
286,Airflow
286,ETL
286,Python
286,SQL
286,Spark
287,Airflow
287,Data Warehouse
287,ELT
287,ETL
287,Git
287,Kafka
287,Machine Learning
287,Python
287,Redshift
287,SQL
287,Snowflake
287,Spark
288,AWS
288,Airflow
288,Azure
288,BigQuery
288,ETL
288,GCP
288,Git
288,Kafka
288,Python
